19500,27946,1,2014/6/7
19500,19421,1,2014/6/11
19500,27927,1,2014/6/16
19500,14048,1,2014/6/17
19500,5086,1,2014/7/6
19500,25933,1,2014/7/11
19500,20551,1,2014/7/25
38250,18730,1,2014/4/21
38250,14265,1,2014/5/22
38250,17590,1,2014/6/17
38250,15138,1,2014/7/11
42000,8890,1,2014/5/16
42000,11578,1,2014/6/24
42000,13390,1,2014/6/30
47000,1950,1,2014/4/23
47000,18835,1,2014/5/7
47000,2999,1,2014/5/18
47000,23549,1,2014/6/20
65500,24196,1,2014/5/9
65500,2452,1,2014/6/9
65500,6152,1,2014/6/10
65500,5814,1,2014/6/17
65500,28687,1,2014/6/24
65500,5443,1,2014/7/1
65500,21840,1,2014/7/20
65500,29202,1,2014/7/27
69500,4691,1,2014/6/2
69500,1917,1,2014/6/10
69500,2929,1,2014/7/3
69500,6352,1,2014/7/4
69500,17470,1,2014/7/7
69500,15315,1,2014/7/25
69500,18730,1,2014/7/26
69500,10646,1,2014/7/26
71250,8775,1,2014/6/14
83250,15434,1,2014/5/21
83250,4220,1,2014/6/13
83250,7409,1,2014/6/13
83250,25329,1,2014/7/3
83250,6174,1,2014/7/22
83250,8769,1,2014/7/28
83250,28885,1,2014/7/30
140500,14625,1,2014/7/23
140500,3627,1,2014/7/25
140500,18730,1,2014/7/26
140500,23779,1,2014/7/26
145750,24242,1,2014/5/7
145750,3847,1,2014/5/8
145750,7409,1,2014/5/15
145750,11196,1,2014/6/22
154500,18805,1,2014/4/18
154500,10353,1,2014/6/1
154500,29197,1,2014/6/29
154500,28621,1,2014/7/4
154500,5863,1,2014/7/25
154500,8689,1,2014/7/26
190500,18465,1,2014/6/14
190500,4281,1,2014/6/27
200250,19166,1,2014/5/23
200250,9620,1,2014/5/24
200250,12052,1,2014/5/24
200250,5856,1,2014/6/19
200250,12352,1,2014/7/10
232000,7105,1,2014/5/20
232000,18791,1,2014/5/29
232000,7868,1,2014/6/24
232000,21865,1,2014/7/15
236000,27028,1,2014/6/24
236000,8637,1,2014/7/4
236000,18275,1,2014/7/26
239250,27060,1,2014/4/20
239250,19742,1,2014/4/20
239250,8603,1,2014/4/29
239250,16854,1,2014/4/30
239250,18990,1,2014/5/22
239250,7616,1,2014/6/21
239250,9842,1,2014/6/30
239250,12647,1,2014/7/17
252500,18805,1,2014/5/4
252500,23826,1,2014/7/1
252500,15089,1,2014/7/1
252500,14011,1,2014/7/1
252500,23861,1,2014/7/10
266500,25005,1,2014/6/1
266500,9487,1,2014/6/19
266500,9486,1,2014/6/19
266500,10282,1,2014/6/19
266500,255,1,2014/7/6
266500,9657,1,2014/7/24
267250,1237,1,2014/4/16
267250,2367,1,2014/4/16
267250,10690,1,2014/4/23
267250,15549,1,2014/4/24
267250,5053,1,2014/5/1
267250,8313,1,2014/5/8
267250,21925,1,2014/5/20
267250,20297,1,2014/5/24
267250,599,1,2014/5/27
267250,13787,1,2014/6/15
267250,11679,1,2014/7/2
267250,18829,1,2014/7/13
267250,679,1,2014/7/14
282500,9899,1,2014/4/22
282500,8818,1,2014/5/13
282500,12055,1,2014/5/21
282500,2683,1,2014/6/13
282500,3850,1,2014/6/16
299750,24869,1,2014/4/18
299750,11080,1,2014/7/12
299750,24601,1,2014/7/18
309750,20902,1,2014/4/27
341000,16564,1,2014/4/18
341000,25840,1,2014/5/23
364250,11679,1,2014/4/16
371250,21110,1,2014/7/6
371250,7620,1,2014/7/13
371250,25596,1,2014/7/19
380000,22094,1,2014/5/13
380000,14174,1,2014/7/31
393250,519,1,2014/5/29
393250,4949,1,2014/6/2
393250,2891,1,2014/7/6
405000,1135,1,2014/6/1
415500,27437,1,2014/4/22
415500,28694,1,2014/4/26
415500,13017,1,2014/5/21
415500,7542,1,2014/5/26
415500,554,1,2014/7/2
415500,194,1,2014/7/2
417250,26800,1,2014/5/5
417250,21838,1,2014/6/18
417250,12068,1,2014/7/7
418500,18002,1,2014/5/31
418500,15138,1,2014/7/16
425500,12285,1,2014/5/22
425500,8313,1,2014/7/4
434750,21911,1,2014/4/19
434750,6542,1,2014/6/10
434750,27511,1,2014/6/10
434750,12656,1,2014/6/11
434750,3228,1,2014/6/11
434750,4571,1,2014/6/13
434750,16972,1,2014/7/7
434750,19973,1,2014/7/21
439000,6104,1,2014/4/29
439000,3362,1,2014/5/5
439000,24060,1,2014/5/10
439000,4221,1,2014/5/17
439000,2198,1,2014/5/21
439000,3228,1,2014/5/21
439000,1041,1,2014/5/21
439000,647,1,2014/5/27
439000,16821,1,2014/5/30
439000,11499,1,2014/6/3
439000,7868,1,2014/6/27
439000,3390,1,2014/6/29
439000,25415,1,2014/6/30
439000,12287,1,2014/7/8
439000,26404,1,2014/7/20
448250,15911,1,2014/7/27
452750,17352,1,2014/4/25
452750,10872,1,2014/4/27
452750,22547,1,2014/4/27
452750,14581,1,2014/4/28
452750,141,1,2014/5/2
452750,14020,1,2014/5/4
452750,11060,1,2014/5/6
452750,251,1,2014/5/6
452750,16460,1,2014/5/11
452750,14796,1,2014/5/12
452750,12110,1,2014/5/19
452750,18491,1,2014/5/19
452750,6672,1,2014/5/26
452750,25488,1,2014/5/26
452750,19973,1,2014/5/26
452750,21865,1,2014/7/2
472000,2963,1,2014/4/15
472000,21565,1,2014/6/13
472000,23584,1,2014/7/27
528250,12977,1,2014/6/4
528250,21146,1,2014/6/7
563500,15032,1,2014/4/16
563500,3219,1,2014/4/19
563500,16939,1,2014/6/15
567250,19615,1,2014/4/19
567250,7105,1,2014/5/1
567250,6051,1,2014/5/3
567250,7868,1,2014/5/4
567250,21838,1,2014/5/4
567250,949,1,2014/5/18
567250,1237,1,2014/5/18
567250,27791,1,2014/6/17
567250,6968,1,2014/6/18
567250,24616,1,2014/6/18
567250,9899,1,2014/6/29
567250,7354,1,2014/6/29
573000,16653,1,2014/6/11
573000,18868,1,2014/7/25
573000,19615,1,2014/7/29
599750,530,1,2014/4/15
599750,29146,1,2014/5/12
599750,18990,1,2014/6/12
599750,9657,1,2014/6/30
599750,18072,1,2014/6/30
599750,10097,1,2014/7/3
599750,20297,1,2014/7/11
599750,12285,1,2014/7/15
620500,6352,1,2014/4/26
620500,15345,1,2014/6/2
620500,4571,1,2014/6/13
620500,18572,1,2014/6/16
620500,7975,1,2014/6/20
620500,26114,1,2014/6/28
620500,21840,1,2014/7/20
620500,10646,1,2014/7/26
620500,934,1,2014/7/29
621500,2683,1,2014/5/13
621500,19973,1,2014/6/20
621500,29099,1,2014/7/11
621500,6326,1,2014/7/26
650750,17772,1,2014/6/12
650750,18202,1,2014/6/12
691500,4270,1,2014/4/18
691500,14119,1,2014/5/11
691500,19974,1,2014/5/13
691500,12433,1,2014/6/17
691500,19328,1,2014/6/23
691500,22547,1,2014/7/1
691500,834,1,2014/7/1
691500,21840,1,2014/7/8
691500,22664,1,2014/7/11
691500,20661,1,2014/7/15
691500,6080,1,2014/7/16
691500,29445,1,2014/7/16
691500,239,1,2014/7/19
691500,28641,1,2014/7/20
691500,8764,1,2014/7/29
691500,27912,1,2014/7/30
691500,23013,1,2014/7/30
691500,14498,1,2014/7/31
711500,11578,1,2014/5/7
711500,26722,1,2014/5/18
711500,4709,1,2014/5/20
711500,14360,1,2014/5/20
711500,17118,1,2014/6/21
711500,11052,1,2014/6/30
725000,20902,1,2014/7/21
725000,17835,1,2014/7/23
731750,11196,1,2014/5/27
